id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
69;Antonio Maura;2;65;Calle Antonio Maura nº 15;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.6894193, 40.4166834]};2020-12-13T12:55:03.723690
71;Almadén;1;67;Calle Almadén nº 28;1;0;24;21;1;0;{'type': 'Point', 'coordinates': [-3.693225, 40.4108472]};2020-12-13T12:55:03.723690
72;Espalter;2;68;Calle Espalter nº 1;1;0;21;13;7;0;{'type': 'Point', 'coordinates': [-3.6912023, 40.4128372]};2020-12-13T12:55:03.723690
73;Puerta del Ángel Caído;1;69;Avenida de Alfonso XII nº 54;1;0;27;23;2;0;{'type': 'Point', 'coordinates': [-3.688822, 40.409808]};2020-12-13T12:55:03.723690
74;Puerta del Doce de Octubre;2;70;Avenida de Menéndez Pelayo nº 63;1;0;24;16;8;0;{'type': 'Point', 'coordinates': [-3.6779232, 40.4153053]};2020-12-13T12:55:03.723690
75;Doce de Octubre;0;71;Calle Doce de Octubre nº 28;1;0;24;4;16;1;{'type': 'Point', 'coordinates': [-3.6738865, 40.4159569]};2020-12-13T12:55:03.723690
76;Sainz de Baranda;1;72;Calle Doctor Esquerdo nº 99;1;0;24;21;3;0;{'type': 'Point', 'coordinates': [-3.6691838, 40.4157413]};2020-12-13T12:55:03.723690
77;Plaza de los Astros;0;73;Avenida de Nazaret nº 7;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.6689089, 40.4114475]};2020-12-13T12:55:03.723690
78;Puerta del Pacífico ;1;74;Avenida de Menéndez Pelayo nº 73;1;0;24;22;2;0;{'type': 'Point', 'coordinates': [-3.6766813, 40.4117627]};2020-12-13T12:55:03.723690
79;Menéndez Pelayo;2;75;Avenida de Menéndez Pelayo nº 90;1;0;24;14;10;0;{'type': 'Point', 'coordinates': [-3.6784838, 40.4082805]};2020-12-13T12:55:03.723690
80;Puerta de Mariano de Cavia;2;76;Avenida del Mediterráneo nº 19;1;0;24;11;12;0;{'type': 'Point', 'coordinates': [-3.6751352, 40.4071304]};2020-12-13T12:55:03.723690
81;Conde de Casal;1;77;Plaza del Conde de Casal nº 8;1;0;22;14;5;0;{'type': 'Point', 'coordinates': [-3.670422, 40.40635]};2020-12-13T12:55:03.723690
82;Pedro Bosch;2;78;Calle Cerro de la Plata nº 2;1;0;24;13;11;0;{'type': 'Point', 'coordinates': [-3.6744, 40.400789]};2020-12-13T12:55:03.723690
83;Puerta de Granada;0;79;Avenida de Menéndez Pelayo nº 38;1;0;24;5;16;1;{'type': 'Point', 'coordinates': [-3.6803874, 40.4051451]};2020-12-13T12:55:03.723690
84;Atocha A;2;80a;Paseo de la Infanta Isabel nº 3;1;0;24;13;9;0;{'type': 'Point', 'coordinates': [-3.6902255, 40.4075685]};2020-12-13T12:55:03.723690
85;Atocha B;2;80b;Paseo de la Infanta Isabel nº 3;1;0;27;14;13;0;{'type': 'Point', 'coordinates': [-3.6901234, 40.4074902]};2020-12-13T12:55:03.723690
86;Cuesta de Moyano;1;81;Plaza del Emperador Carlos V nº 11;1;0;24;17;5;1;{'type': 'Point', 'coordinates': [-3.691987, 40.409297]};2020-12-13T12:55:03.723690
87;Niño Jesús;2;82;Calle Doctor Esquerdo nº 161;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.6697526, 40.4084556]};2020-12-13T12:55:03.723690
88;Pío Baroja;2;83;Calle Pío Baroja nº 10;1;0;24;12;10;0;{'type': 'Point', 'coordinates': [-3.6745323, 40.4132995]};2020-12-13T12:55:03.723690
89;Valderribas;2;84;Calle Doctor Esquerdo nº 191;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.6726019, 40.4032501]};2020-12-13T12:55:03.723690
90;Puerta de Madrid;1;85;Avenida de Menéndez Pelayo nº 11;1;0;27;20;6;0;{'type': 'Point', 'coordinates': [-3.680008, 40.421501]};2020-12-13T12:55:03.723690
91;Cibeles;1;86;Paseo del Prado nº 1;1;0;21;19;1;0;{'type': 'Point', 'coordinates': [-3.6933498, 40.4186516]};2020-12-13T12:55:03.723690
92;Ayala;0;87;Calle Ayala nº 44;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.6832566, 40.427736]};2020-12-13T12:55:03.723690
93;Embajada de Italia;2;88;Calle Velázquez nº 75;1;0;24;8;16;0;{'type': 'Point', 'coordinates': [-3.6838303, 40.4313576]};2020-12-13T12:55:03.723690
94;Conde Peñalver;0;89;Calle Ayala nº 102;1;0;24;4;20;0;{'type': 'Point', 'coordinates': [-3.6752024, 40.4272582]};2020-12-13T12:55:03.723690
95;General Pardiñas;2;90;Calle Goya nº 18;1;0;30;18;10;0;{'type': 'Point', 'coordinates': [-3.6837876, 40.4250361]};2020-12-13T12:55:03.723690
96;Príncipe de Vergara;0;91;Calle Hermosilla nº 70;1;0;24;1;18;1;{'type': 'Point', 'coordinates': [-3.6787441, 40.426134]};2020-12-13T12:55:03.723690
97;Claudio Coello;0;92;Calle Claudio Coello nº 45;1;0;24;1;22;0;{'type': 'Point', 'coordinates': [-3.6865463, 40.4262945]};2020-12-13T12:55:03.723690
98;Plaza de Colón;0;93;Calle Goya nº 1;1;0;24;1;22;0;{'type': 'Point', 'coordinates': [-3.6893698, 40.4257046]};2020-12-13T12:55:03.723690
99;Biblioteca Nacional;1;94;Paseo de Recoletos nº 32-34;1;0;21;19;1;0;{'type': 'Point', 'coordinates': [-3.690756, 40.4232153]};2020-12-13T12:55:03.723690
100;Villanueva;0;95;Calle Claudio Coello nº 19;1;0;24;5;17;0;{'type': 'Point', 'coordinates': [-3.6870548, 40.4226584]};2020-12-13T12:55:03.723690
101;Castelló;0;96;Calle Alcalá nº 111;1;0;27;4;19;0;{'type': 'Point', 'coordinates': [-3.6821793, 40.422064]};2020-12-13T12:55:03.723690
102;Alcalá;2;97;Avenida de Menéndez Pelayo nº 3;1;0;27;8;17;0;{'type': 'Point', 'coordinates': [-3.6805189, 40.4222969]};2020-12-13T12:55:03.723690
103;Plaza de Felipe II;0;98;Plaza de Felipe II;1;0;24;7;17;0;{'type': 'Point', 'coordinates': [-3.6758383, 40.4239447]};2020-12-13T12:55:03.723690
104;Alcántara;2;99;Calle Alcántara nº 2;1;0;24;7;15;0;{'type': 'Point', 'coordinates': [-3.6738714, 40.4261851]};2020-12-13T12:55:03.723690
105;Palacio de Deportes;0;100;Calle Goya nº 99;1;0;24;6;16;1;{'type': 'Point', 'coordinates': [-3.67384, 40.42478]};2020-12-13T12:55:03.723690
106;Jorge Juan;3;101;Calle Jorge Juan nº 131;1;1;24;0;0;0;{'type': 'Point', 'coordinates': [-3.6691524, 40.4231526]};2020-12-13T12:55:03.723690
107;Velázquez;1;102;Calle Alcalá nº 95;1;0;24;20;3;0;{'type': 'Point', 'coordinates': [-3.6840229, 40.4211802]};2020-12-13T12:55:03.723690
