fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;3919;880;4;18;0;N;443487,015542911;4478170,46777174
13/12/2020 12:40:07;3920;360;7;39;1;N;443396,400618437;4478077,13335997
13/12/2020 12:40:07;3921;1060;4;21;0;N;443706,622412812;4478250,24129854
13/12/2020 12:40:07;3922;460;1;18;0;N;443570,133200399;4478139,53832116
13/12/2020 12:40:07;3923;320;1;19;0;N;442502,053105273;4477583,02450013
13/12/2020 12:40:07;3924;480;3;23;0;N;442320,032849799;4477674,74492378
13/12/2020 12:40:07;3925;400;1;20;0;N;442015,313887375;4477449,25780332
13/12/2020 12:40:07;3926;360;2;13;0;N;442331,469190783;4478116,8350236
13/12/2020 12:40:07;3927;480;2;25;0;S;442444,004392383;4477775,78889457
13/12/2020 12:40:07;3928;20;0;6;0;N;442111,40114357;4477482,79813282
13/12/2020 12:40:07;3604;80;25;23;0;N;442544,939030048;4477791,2449953
13/12/2020 12:40:07;3929;0;0;0;0;S;443080,021543235;4478143,02082175
13/12/2020 12:40:07;3605;60;1;13;0;N;443479,187271731;4478461,10434961
13/12/2020 12:40:07;10078;80;2;5;0;N;442804,137319837;4478231,12086774
13/12/2020 12:40:07;10076;460;3;10;0;S;442963,06583623;4478133,35398158
13/12/2020 12:40:07;10079;80;1;4;0;N;442813,628992329;4478002,05478156
13/12/2020 12:40:07;3606;499;5;30;1;N;442262,191356546;4478205,51795061
13/12/2020 12:40:07;3930;1020;5;25;0;N;441957,749688425;4477572,07936987
13/12/2020 12:40:07;3931;999;3;30;1;N;441819,892172871;4476938,8177294
13/12/2020 12:40:07;3932;1440;4;33;1;N;441685,593634683;4475440,23893096
13/12/2020 12:40:07;3933;100;0;12;0;N;441978,451690783;4476658,83200754
13/12/2020 12:40:07;3934;640;4;29;1;N;442059,01726871;4478118,41003143
13/12/2020 12:40:07;3935;499;4;27;1;N;441693,610525769;4476042,99981082
13/12/2020 12:40:07;3936;740;2;23;0;N;441332,352916347;4474550,09936159
13/12/2020 12:40:07;3937;1900;10;53;2;N;441778,976128845;4476398,41306417
13/12/2020 12:40:07;3938;1660;7;45;1;N;441761,342445896;4476148,15147567
13/12/2020 12:40:07;3939;1340;6;35;1;N;441598,138972006;4474830,80364207
13/12/2020 12:40:07;3940;1600;6;51;2;N;441604,187975368;4475214,85727885
13/12/2020 12:40:07;3941;1080;3;31;1;N;441804,807918529;4476720,05946516
13/12/2020 12:40:07;3942;340;3;28;1;N;441702,945413007;4476378,56741065
13/12/2020 12:40:07;3943;499;4;38;1;N;441717,489473088;4476379,53863383
13/12/2020 12:40:07;3944;1200;4;37;1;N;441741,179442749;4475864,05103727
13/12/2020 12:40:07;3945;240;8;35;1;N;441671,385099568;4475477,56936693
13/12/2020 12:40:07;3946;1300;5;52;2;N;441747,387130317;4475193,015491
13/12/2020 12:40:07;3798;1060;8;36;1;N;441584,325458217;4474716,88545759
13/12/2020 12:40:07;3697;980;3;28;1;N;441793,888262671;4474665,18373823
13/12/2020 12:40:07;3947;1140;4;40;1;N;441563,81764889;4474366,70628363
13/12/2020 12:40:07;3948;340;3;22;0;N;441900,509108924;4476562,73036861
13/12/2020 12:40:07;3578;900;3;38;1;N;441643,909062137;4475160,03342175
13/12/2020 12:40:07;4223;920;2;30;1;N;441513,800475242;4475082,27485935
13/12/2020 12:40:07;10048;680;5;24;0;N;442171,127444189;4478021,06848233
13/12/2020 12:40:07;10049;100;0;2;0;N;442176,90795197;4478016,4812432
13/12/2020 12:40:07;10050;260;1;9;0;N;442203,185772363;4477926,21358583
13/12/2020 12:40:07;10018;920;2;23;0;N;441314,395393921;4474549,15438348
13/12/2020 12:40:07;3950;780;5;51;2;N;442664,398454221;4476394,76746293
13/12/2020 12:40:07;9894;320;2;20;0;N;441871,940514373;4475024,48683067
13/12/2020 12:40:07;3952;780;2;20;0;N;442448,874747091;4477134,82572167
13/12/2020 12:40:07;3953;320;3;22;0;S;442549,542669983;4477033,9346986
13/12/2020 12:40:07;3954;300;1;13;0;S;442430,365872894;4476844,20093067
13/12/2020 12:40:07;10606;40;0;1;0;S;442066,963456097;4476656,70334526
13/12/2020 12:40:07;4224;560;3;27;1;N;442394,135527645;4476382,57780313
13/12/2020 12:40:07;4225;440;3;41;1;N;441951,127313683;4476565,13008311
